Date,SPY,EFA,EEM,EMB,HYG,LQD,TLT,GLD,USO
2007-12-19,103.6241,44.6112,33.2887,41.6531,32.8073,51.8165,53.5359,79.24,577.2
2007-12-20,104.2776,44.9292,33.4704,41.6695,32.7366,51.5655,53.4211,78.67,576.8
2007-12-21,105.7808,45.5708,34.4798,41.6243,32.8394,51.5113,52.6401,80.1,590.4
2007-12-24,106.5662,45.7572,35.0629,41.6983,32.7237,51.2505,52.3932,80.14,591.6
2007-12-26,106.7948,45.8853,35.2447,41.7313,32.5791,51.2653,51.9338,81.52,607.28
2007-12-27,105.4523,45.6057,34.4314,41.6987,32.794,51.5693,52.5,81.56,610.0
2007-12-28,105.1881,45.9959,34.5608,41.7151,32.4741,51.7324,53.3187,83.0,607.12
2007-12-31,104.4097,45.7106,34.1451,41.7728,32.5452,51.8313,53.6415,82.46,606.08
2008-01-02,103.4957,45.5475,33.5817,41.8306,32.151,52.4444,54.4141,84.86,627.76
2008-01-03,103.4456,45.6232,33.8839,41.9048,32.0896,52.2713,54.3391,85.57,626.96
2008-01-04,100.9105,44.5867,32.8661,41.9254,32.054,52.7014,54.3507,85.13,618.48
2008-01-07,100.8249,44.6333,33.1069,42.0202,31.8634,52.6371,54.5871,84.77,604.0
2008-01-08,99.1967,44.3829,32.8502,42.1232,31.6792,52.5383,54.5237,86.78,608.48
2008-01-09,100.2393,44.7032,33.927,42.0903,31.3335,52.4295,54.6274,86.55,602.0
2008-01-10,100.8962,44.6566,34.3269,42.1273,31.5661,52.2762,53.8895,88.25,592.16
2008-01-11,100.0822,43.7657,33.3613,41.9748,31.634,52.6569,54.3103,88.58,584.72
2008-01-14,100.8891,44.4645,33.8521,42.1191,31.5241,52.4394,54.5121,89.54,594.0
2008-01-15,98.6683,43.0203,32.3209,42.1892,31.6049,52.7212,55.1232,87.99,582.24
2008-01-16,97.8185,42.1527,30.976,42.2469,31.5694,52.6421,54.7255,86.7,574.8
2008-01-17,95.2834,41.518,30.0741,42.2098,31.3464,52.8893,55.4346,86.5,568.24
